Elevation_angle,	A_long_baseline_delay,	A-B_delay,	A-C_delay
10.0,	0,	-3.0,	-2.0
9.45459454595,	0,	-4.0,	-2.0
8.70758707587,	0,	-4.0,	-3.0
7.71457714577,	0,	-5.0,	-3.0
7.35097350974,	0,	-5.0,	-4.0
5.9919599196,	0,	-5.0,	-5.0
5.9673596736,	0,	-6.0,	-5.0
4.62874628746,	0,	-6.0,	-6.0
4.20994209942,	0,	-7.0,	-6.0
3.26073260733,	0,	-7.0,	-7.0
2.44052440524,	0,	-8.0,	-7.0
1.88731887319,	0,	-8.0,	-8.0
0.657906579066,	0,	-9.0,	-8.0
0.507905079051,	0,	-9.0,	-9.0
-0.879308793088,	0,	-9.0,	-10.0
-1.14091140911,	0,	-10.0,	-10.0
-2.27432274323,	0,	-10.0,	-11.0
-2.9571295713,	0,	-11.0,	-11.0
-3.67833678337,	0,	-11.0,	-12.0
-4.79434794348,	0,	-12.0,	-12.0
-5.09315093151,	0,	-12.0,	-13.0
-6.51876518765,	0,	-12.0,	-14.0
-6.65436654367,	0,	-13.0,	-14.0
-7.9575795758,	0,	-13.0,	-15.0
-8.54018540185,	0,	-14.0,	-15.0
-9.40959409594,	0,	-14.0,	-16.0
-10.455404554,	0,	-15.0,	-16.0
-10.8772087721,	0,	-15.0,	-17.0
-12.3610236102,	0,	-15.0,	-18.0
-12.4036240362,	0,	-16.0,	-18.0
-13.8634386344,	0,	-16.0,	-19.0
-14.3890438904,	0,	-17.0,	-19.0
-15.3856538565,	0,	-17.0,	-20.0
-16.4164641646,	0,	-18.0,	-20.0
-16.9300693007,	0,	-18.0,	-21.0
-18.4912849128,	0,	-19.0,	-21.0
-18.4984849848,	0,	-19.0,	-22.0
-20.093300933,	0,	-19.0,	-23.0
-20.6195061951,	0,	-20.0,	-23.0
-21.7175171752,	0,	-20.0,	-24.0
-22.8089280893,	0,	-21.0,	-24.0
-23.3741337413,	0,	-21.0,	-25.0
-25.0661506615,	0,	-21.0,	-26.0
-25.0691506915,	0,	-22.0,	-26.0
-26.7983679837,	0,	-22.0,	-27.0
-27.4103741037,	0,	-23.0,	-27.0
-28.5743857439,	0,	-23.0,	-28.0
-29.848198482,	0,	-24.0,	-28.0
-30.400804008,	0,	-24.0,	-29.0
-32.2830228302,	0,	-24.0,	-30.0
-32.3988239882,	0,	-25.0,	-30.0
-34.2294422944,	0,	-25.0,	-31.0
-35.0862508625,	0,	-26.0,	-31.0
-36.2502625026,	0,	-26.0,	-32.0
-37.9422794228,	0,	-27.0,	-32.0
-38.3556835568,	0,	-27.0,	-33.0
-40.5625056251,	0,	-27.0,	-34.0
-41.0119101191,	0,	-28.0,	-34.0
-42.8899288993,	0,	-28.0,	-35.0
-44.3635436354,	0,	-29.0,	-35.0
-45.3643536435,	0,	-29.0,	-36.0
-48.0247802478,	0,	-29.0,	-37.0
-48.1093810938,	0,	-30.0,	-37.0
