Elevation_angle,	A_short_baseline_delay,	A-B_delay,	A-C_delay
10.0,	0,	-7.0,	-5.0
9.09999099991,	0,	-7.0,	-6.0
7.93357933579,	0,	-8.0,	-6.0
7.42357423574,	0,	-8.0,	-7.0
5.73635736357,	0,	-8.0,	-8.0
5.60555605556,	0,	-9.0,	-8.0
4.0377403774,	0,	-9.0,	-9.0
3.24213242132,	0,	-10.0,	-9.0
2.32532325323,	0,	-10.0,	-10.0
0.837308373084,	0,	-11.0,	-10.0
0.59790597906,	0,	-11.0,	-11.0
-1.14751147511,	0,	-11.0,	-12.0
-1.61551615516,	0,	-12.0,	-12.0
-2.91272912729,	0,	-12.0,	-13.0
-4.12414124141,	0,	-13.0,	-13.0
-4.70014700147,	0,	-13.0,	-14.0
-6.51216512165,	0,	-13.0,	-15.0
-6.69756697567,	0,	-14.0,	-15.0
-8.35238352384,	0,	-14.0,	-16.0
-9.34719347193,	0,	-15.0,	-16.0
-10.223802238,	0,	-15.0,	-17.0
-12.0862208622,	0,	-16.0,	-17.0
-12.1300213002,	0,	-16.0,	-18.0
-14.0752407524,	0,	-16.0,	-19.0
-14.9314493145,	0,	-17.0,	-19.0
-16.0642606426,	0,	-17.0,	-20.0
-17.9038790388,	0,	-18.0,	-20.0
-18.1036810368,	0,	-18.0,	-21.0
-20.198901989,	0,	-18.0,	-22.0
-21.0323103231,	0,	-19.0,	-22.0
-22.3595235952,	0,	-19.0,	-23.0
-24.3545435454,	0,	-20.0,	-23.0
-24.5939459395,	0,	-20.0,	-24.0
-26.9147691477,	0,	-20.0,	-25.0
-27.9263792638,	0,	-21.0,	-25.0
-29.3375933759,	0,	-21.0,	-26.0
-31.8324183242,	0,	-22.0,	-26.0
-31.8816188162,	0,	-22.0,	-27.0
-34.5726457265,	0,	-22.0,	-28.0
-36.2142621426,	0,	-23.0,	-28.0
-37.4478744787,	0,	-23.0,	-29.0
-40.5595055951,	0,	-23.0,	-30.0
-41.3467134671,	0,	-24.0,	-30.0
-43.9909399094,	0,	-24.0,	-31.0
-47.8849788498,	0,	-24.0,	-32.0
-47.9305793058,	0,	-25.0,	-32.0
